Makanan,Karbohidrat,Protein,Sayur,Pengolahan
Sosis Bakar,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar
Ngohiong Ayam Udang,Tidak ada,Lainnya,Tidak,Goreng atau tumis
Rawon Ayam,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus
Usus Goreng Crispy,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ceker Rica Rica,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ceker Kecap Pedas,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Suwir Kecap,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Burung Puyuh Bakar,Tidak ada,Lainnya,Tidak,Panggang atau bakar
Dangkot Ayam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ayam Bumbu Merah,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Pempek Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus
Ngohiong Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Goreng atau tumis
Rica Rica Bebek,Tidak ada,Lainnya,Tidak,Rebus atau kukus
Ayam Rujak Tanpa Santan,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Daging Goreng,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Asam Pedas (Padeh) Daging,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Tongseng Kambing Tanpa Santan,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Saksang Ayam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ayam Goreng Madu,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Kecap,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ayam Geprek Keju,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Chicken Basil Thai,Tidak ada,Ayam dan daging,Ya,Goreng atau tumis
Dumpling Ayam Kukus,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Tangsuyuk Sapi,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Kekian Ayam Udang,Tidak ada,Lainnya,Tidak,Goreng atau tumis
Yakitori Ayam,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar
Ayam Telur Asin,Tidak ada,Lainnya,Tidak,Goreng atau tumis
Ayam Kuah Hitam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Korean Spicy Chicken,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Nasi Jinggo,Beras dan olahannya,Lainnya,Tidak,Lainnya
Bubur Ayam Quaker Oat,Lainnya,Ayam dan daging,Tidak,Rebus atau kukus
Lidah Sapi Cabe hijau,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Goreng Oatmeal,Lainnya,Ayam dan daging,Tidak,Goreng atau tumis
Burrito Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Panggang atau bakar
Ayam Kecap Kuah,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ayam Kecap Pedas,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ayam Bumbu Rajang (Khas Lombok),Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Gore Gore,Lainnya,Ayam dan daging,Tidak,Goreng atau tumis
Bakso Keju,"Tepung, Mie, dan Pasta",Lainnya,Ya,Rebus atau kukus
Tum Ayam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ayam Bakar Lumajang,Tidak ada,Ayam dan daging,Ya,Panggang atau bakar
